DATE,shifts,active_users,shifts_per_user
2023-08,3,1,3.0
2023-09,1,1,1.0
2023-10,5,1,5.0
2023-11,4,1,4.0
2023-12,1,1,1.0
2024-02,3,2,1.5
2024-03,10,1,10.0
2024-04,8,2,4.0
2024-05,9,2,4.5
2024-06,20,5,4.0
2024-07,15,4,3.75
2024-08,12,2,6.0
2024-09,21,6,3.5
2024-10,34,4,8.5
2024-11,47,10,4.7
2024-12,465,139,3.3453237410071943
2025-01,3601,317,11.3596214511041
2025-02,3324,291,11.422680412371134
2025-03,3797,281,13.512455516014235
2025-04,4386,308,14.24025974025974
2025-05,5598,366,15.295081967213115
2025-06,6050,366,16.530054644808743
2025-07,6782,401,16.91271820448878
2025-08,6353,398,15.962311557788945
2025-09,6536,398,16.42211055276382
2025-10,6097,381,16.00262467191601
2025-11,5354,384,13.942708333333334
2025-12,6816,402,16.955223880597014
2026-01,6326,435,14.542528735632184
2026-02,28,22,1.2727272727272727
