,DAYOFWEEK,JOBS,SHIFT,LOCATION,STDREG,STDOT,DIFFERENTIAL,OTRATE,REGRATE,REGHRS,OTHRS,PAY,YEAR
mon-fri day,"1 , 2 , 3 , 4 , 5",HD MECHANIC,DAY,"CENTENNIAL, VANTERM",53.17,79.76,2.5,82.26,55.67,8,0, 445.36 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",HD MECHANIC,NIGHT,"CENTENNIAL, VANTERM",66.98,100.47,2.5,102.97,69.48,8,0, 555.84 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",HD MECHANIC,GRAVEYARD,"CENTENNIAL, VANTERM",82.73,124.1,2.5,126.6,85.23,8,0, 681.84 ,2024
,,,,,,,,,,,,,
Sat day,6,HD MECHANIC,DAY,"CENTENNIAL, VANTERM",68.06,102.09,2.5,104.59,70.56,8,0, 564.48 ,2024
Sat night,6,HD MECHANIC,NIGHT,"CENTENNIAL, VANTERM",85.07,127.61,2.5,130.11,87.57,8,0, 700.56 ,2024
Sat gravy,6,HD MECHANIC,GRAVEYARD,"CENTENNIAL, VANTERM",85.07,127.61,2.5,130.11,87.57,8,0, 700.56 ,2024
,,,,,,,,,,,,,
Sun day,0,HD MECHANIC,DAY,"CENTENNIAL, VANTERM",85.07,127.61,2.5,130.11,87.57,8,0, 700.56 ,2024
Sun night,0,HD MECHANIC,NIGHT,"CENTENNIAL, VANTERM",85.07,127.61,2.5,130.11,87.57,8,0, 700.56 ,2024
Sun gravy,0,HD MECHANIC,GRAVEYARD,"CENTENNIAL, VANTERM",85.07,127.61,2.5,130.11,87.57,8,0, 700.56 ,2024
