,DAYOFWEEK,JOBS,SUBJOB,SHIFT,STDREG,STDOT,DIFFERENTIAL,OTRATE,REGRATE,REGHRS,OTHRS,PAY,YEAR
mon-fri day,"1 , 2 , 3 , 4 , 5",TRAINER,REGULAR,DAY,70.89333333,106.34,1.75,108.09, 72.64 ,8,0, 581.15 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",TRAINER,REGULAR,NIGHT,89.30666667,133.96,1.75,135.71, 91.06 ,8,0, 728.45 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",TRAINER,REGULAR,GRAVEYARD,110.3066667,165.46,1.75,167.21, 112.06 ,6.5,0, 728.37 ,2024
Sat day,6,TRAINER,REGULAR,DAY,90.74666667,136.12,1.75,137.87, 92.50 ,8,0, 739.97 ,2024
Sat night,6,TRAINER,REGULAR,NIGHT,113.4266667,170.14,1.75,171.89, 115.18 ,8,0, 921.41 ,2024
Sat gravy,6,TRAINER,REGULAR,GRAVEYARD,113.4266667,170.14,1.75,171.89, 115.18 ,6.5,0, 748.65 ,2024
Sun day,0,TRAINER,REGULAR,DAY,113.4266667,170.14,1.75,171.89, 115.18 ,8,0, 921.41 ,2024
Sun night,0,TRAINER,REGULAR,NIGHT,113.4266667,170.14,1.75,171.89, 115.18 ,8,0, 921.41 ,2024
Sun gravy,0,TRAINER,REGULAR,GRAVEYARD,113.4266667,170.14,1.75,171.89, 115.18 ,6.5,0, 748.65 ,2024
ALL,"1 , 2 , 3 , 4 , 5 , 6 , 0",TRAINER,SENIOR,DAY,113.4266667,170.14,1.75,171.89, 115.18 ,8,0, 921.41 ,2024
ALL,"1 , 2 , 3 , 4 , 5 , 6 , 0",TRAINER,SENIOR,NIGHT,113.4266667,170.14,1.75,171.89, 115.18 ,8,0, 921.41 ,2024
ALL,"1 , 2 , 3 , 4 , 5 , 6 , 0",TRAINER,SENIOR,GRAVEYARD,113.4266667,170.14,1.75,171.89, 115.18 ,6.5,0, 748.65 ,2024
,,,,,,,,,,,,,
Multiplier,1.333333333,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
